[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Tag[ app_init ] --START--
[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Run XSS Behavior [ RunTime:0.000419s ]
[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Tag[ app_init ] --END-- [ RunTime:0.000511s ]
[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Tag[ app_begin ] --START--
[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000452s ]
[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000481s ]
[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Tag[ app_end ] --START--
[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Run SaveConfig Behavior [ RunTime:0.000462s ]
[ 2017-04-04T16:56:57+08:00 ] /install/ | INFO: Tag[ app_end ] --END-- [ RunTime:0.000500s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run XSS Behavior [ RunTime:0.000427s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --END-- [ RunTime:0.000520s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run CheckRoute Behavior [ RunTime:0.000572s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000600s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000446s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000474s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_template ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000918s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000953s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_parse ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010278s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010316s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_filter ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ContentReplace Behavior [ RunTime:0.000532s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run TokenBuild Behavior [ RunTime:0.000488s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000486s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000593s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002192s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_end ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000675s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000721s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_end ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Run SaveConfig Behavior [ RunTime:0.000475s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_end ] --END-- [ RunTime:0.000503s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491296217308308 | INFO: Tag[ app_init ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491296217308308 | INFO: Run XSS Behavior [ RunTime:0.000405s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491296217308308 | INFO: Tag[ app_init ] --END-- [ RunTime:0.000503s ]
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491296217308308 | INFO: Tag[ route_check ] --START--
[ 2017-04-04T16:56:57+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491296217308308 | INFO: Run CheckRoute Behavior [ RunTime:0.000570s ]
