[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run ContentReplace Behavior [ RunTime:0.000530s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run TokenBuild Behavior [ RunTime:0.000496s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000436s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run ShowRuntime Behavior [ RunTime:0.000527s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002071s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_end ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000606s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000632s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Run SaveConfig Behavior [ RunTime:0.000452s ]
[ 2017-04-05T00:04:23+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1491321863843843 | INFO: Tag[ app_end ] --END-- [ RunTime:0.000479s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run XSS Behavior [ RunTime:0.000438s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_init ] --END-- [ RunTime:0.000533s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run CheckRoute Behavior [ RunTime:0.000596s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ route_check ] --END-- [ RunTime:0.000623s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000439s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000465s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Run SaveConfig Behavior [ RunTime:0.000507s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_config_file | INFO: Tag[ app_end ] --END-- [ RunTime:0.000559s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run XSS Behavior [ RunTime:0.000398s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_init ] --END-- [ RunTime:0.000485s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run CheckRoute Behavior [ RunTime:0.000564s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ route_check ] --END-- [ RunTime:0.000591s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000438s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000463s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Run SaveConfig Behavior [ RunTime:0.000516s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/create_database | INFO: Tag[ app_end ] --END-- [ RunTime:0.000550s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Run XSS Behavior [ RunTime:0.000470s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Tag[ app_init ] --END-- [ RunTime:0.000561s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Run CheckRoute Behavior [ RunTime:0.000656s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Tag[ route_check ] --END-- [ RunTime:0.000682s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000525s ]
[ 2017-04-05T00:04:25+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000551s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Run SaveConfig Behavior [ RunTime:0.000638s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/install_base_data | INFO: Tag[ app_end ] --END-- [ RunTime:0.000679s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Run XSS Behavior [ RunTime:0.000498s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Tag[ app_init ] --END-- [ RunTime:0.000612s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Tag[ route_check ] --START--
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Run CheckRoute Behavior [ RunTime:0.000699s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Tag[ route_check ] --END-- [ RunTime:0.000726s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Tag[ app_begin ] --START--
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000473s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000500s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Tag[ app_end ] --START--
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Run SaveConfig Behavior [ RunTime:0.000448s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/create_admin_passport | INFO: Tag[ app_end ] --END-- [ RunTime:0.000485s ]
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/do_others | INFO: Tag[ app_init ] --START--
[ 2017-04-05T00:04:30+08:00 ] /Install/index.php?s=/Install/do_others | INFO: Run XSS Behavior [ RunTime:0.000434s ]
