[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Tag[ app_init ] --START--
[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Run XSS Behavior [ RunTime:0.000239s ]
[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Tag[ app_init ] --END-- [ RunTime:0.000309s ]
[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Tag[ app_begin ] --START--
[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000244s ]
[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000281s ]
[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Tag[ app_end ] --START--
[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Run SaveConfig Behavior [ RunTime:0.000117s ]
[ 2017-04-08T01:50:57+08:00 ] /Install/ | INFO: Tag[ app_end ] --END-- [ RunTime:0.000154s ]
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --START--
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | INFO: Run XSS Behavior [ RunTime:0.000215s ]
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_init ] --END-- [ RunTime:0.000290s ]
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --START--
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | INFO: Run CheckRoute Behavior [ RunTime:0.000414s ]
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000457s ]
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-08T01:51:11+08:00 ] /Install/index.php?s=/Install/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000273s ]
